latitude,longitude,bathrooms,bedrooms,floorAreaSqM,livingRooms,distance_to_tube,distance_to_bus,no_of_bus_1km,saleEstimate_currentPrice
51.4069229,-0.0843154,1.0,1.0,60.0,1.0,1.277350,1.277350,0,344000.0
51.4714022,-0.2476193,3.0,4.0,194.0,3.0,2.656938,2.623931,0,1806000.0
51.4915088,-0.0618115,1.0,2.0,70.0,1.0,0.991996,0.729045,2,285000.0
51.4838898,-0.1219142,1.0,1.0,89.0,1.0,1.932725,0.314536,3,911000.0
51.5888751,-0.0571081,2.0,2.0,70.0,1.0,0.314279,0.314279,1,486000.0
51.4957406,-0.0811775,1.0,1.0,65.0,1.0,1.071086,1.036033,0,569000.0
51.5991671,-0.1035246,1.0,2.0,74.0,1.0,2.332371,0.475434,1,405000.0
51.6445473,-0.1132332,2.0,2.0,96.0,1.0,2.502340,1.289748,0,399000.0
51.456633,-0.1348722,2.0,5.0,178.0,1.0,1.002456,0.627991,2,1966000.0
51.597583,0.0151995,2.0,4.0,134.0,1.0,1.590962,1.049609,0,788000.0
51.6190955,0.0082504,2.0,2.0,79.0,1.0,1.370632,1.370632,0,343000.0
51.4486894,-0.0415485,1.0,1.0,44.0,1.0,0.319342,0.319342,2,358000.0
